Unnamed: 0,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
51,7.0,3.2,4.7,1.4,versicolor
29,5.2,3.4,1.4,0.2,setosa
26,5.0,3.0,1.6,0.2,setosa
12,4.8,3.4,1.6,0.2,setosa
81,5.5,2.4,3.8,1.1,versicolor
22,5.1,3.7,1.5,0.4,setosa
69,6.2,2.2,4.5,1.5,versicolor
95,5.6,2.7,4.2,1.3,versicolor
114,5.7,2.5,5.0,2.0,virginica
65,5.6,2.9,3.6,1.3,versicolor
49,5.3,3.7,1.5,0.2,setosa
126,7.2,3.2,6.0,1.8,virginica
90,5.5,2.5,4.0,1.3,versicolor
102,5.8,2.7,5.1,1.9,virginica
59,6.6,2.9,4.6,1.3,versicolor
28,5.2,3.5,1.5,0.2,setosa
79,6.0,2.9,4.5,1.5,versicolor
140,6.9,3.1,5.4,2.1,virginica
10,4.9,3.1,1.5,0.1,setosa
70,5.6,2.5,3.9,1.1,versicolor
129,6.4,2.8,5.6,2.1,virginica
33,5.2,4.1,1.5,0.1,setosa
87,6.7,3.1,4.7,1.5,versicolor
36,5.0,3.2,1.2,0.2,setosa
61,5.0,2.0,3.5,1.0,versicolor
58,4.9,2.4,3.3,1.0,versicolor
144,6.8,3.2,5.9,2.3,virginica
2,4.9,3.0,1.4,0.2,setosa
107,4.9,2.5,4.5,1.7,virginica
108,7.3,2.9,6.3,1.8,virginica
100,5.7,2.8,4.1,1.3,versicolor
47,5.1,3.8,1.6,0.2,setosa
53,6.9,3.1,4.9,1.5,versicolor
111,6.5,3.2,5.1,2.0,virginica
134,6.3,2.8,5.1,1.5,virginica
121,6.9,3.2,5.7,2.3,virginica
110,7.2,3.6,6.1,2.5,virginica
132,7.9,3.8,6.4,2.0,virginica
66,6.7,3.1,4.4,1.4,versicolor
150,5.9,3.0,5.1,1.8,virginica
46,4.8,3.0,1.4,0.3,setosa
118,7.7,3.8,6.7,2.2,virginica
38,4.9,3.6,1.4,0.1,setosa
137,6.3,3.4,5.6,2.4,virginica
56,5.7,2.8,4.5,1.3,versicolor
23,4.6,3.6,1.0,0.2,setosa
44,5.0,3.5,1.6,0.6,setosa
101,6.3,3.3,6.0,2.5,virginica
35,4.9,3.1,1.5,0.2,setosa
68,5.8,2.7,4.1,1.0,versicolor
77,6.8,2.8,4.8,1.4,versicolor
55,6.5,2.8,4.6,1.5,versicolor
60,5.2,2.7,3.9,1.4,versicolor
76,6.6,3.0,4.4,1.4,versicolor
54,5.5,2.3,4.0,1.3,versicolor
72,6.1,2.8,4.0,1.3,versicolor
21,5.4,3.4,1.7,0.2,setosa
131,7.4,2.8,6.1,1.9,virginica
17,5.4,3.9,1.3,0.4,setosa
147,6.3,2.5,5.0,1.9,virginica
89,5.6,3.0,4.1,1.3,versicolor
14,4.3,3.0,1.1,0.1,setosa
125,6.7,3.3,5.7,2.1,virginica
94,5.0,2.3,3.3,1.0,versicolor
98,6.2,2.9,4.3,1.3,versicolor
124,6.3,2.7,4.9,1.8,virginica
1,5.1,3.5,1.4,0.2,setosa
19,5.7,3.8,1.7,0.3,setosa
139,6.0,3.0,4.8,1.8,virginica
57,6.3,3.3,4.7,1.6,versicolor
24,5.1,3.3,1.7,0.5,setosa
116,6.4,3.2,5.3,2.3,virginica
86,6.0,3.4,4.5,1.6,versicolor
148,6.5,3.0,5.2,2.0,virginica
20,5.1,3.8,1.5,0.3,setosa
146,6.7,3.0,5.2,2.3,virginica
97,5.7,2.9,4.2,1.3,versicolor
91,5.5,2.6,4.4,1.2,versicolor
142,6.9,3.1,5.1,2.3,virginica
42,4.5,2.3,1.3,0.3,setosa
78,6.7,3.0,5.0,1.7,virginica
63,6.0,2.2,4.0,1.0,versicolor
117,6.5,3.0,5.5,1.8,virginica
18,5.1,3.5,1.4,0.3,setosa
127,6.2,2.8,4.8,1.8,virginica
92,6.1,3.0,4.6,1.4,versicolor
