,user_id,treatment,if_on,live_date,gender,age_range,live_stream_duration,live_stream_cnt,total_watching_duration,receive_amount,like_cnt,comment_cnt,share_cnt,voice_comment_cnt
2863584,351201979,1,1,2018-12-09,F,50+,1161,3,403,2.0,28,4,0,0
3117367,254199997,1,1,2018-12-02,F,24-30,533,1,69,0.0,5,0,0,0
1115537,17539023,1,1,2018-12-17,M,18-23,3446,4,1305,163.0,5,4,0,0
2808890,138615852,1,1,2018-12-07,M,18-23,2773,2,12445,28.0,785,42,0,8
201063,694737095,1,1,2018-12-13,M,24-30,446,1,278,13.0,216,2,0,0
1548564,545085472,1,1,2018-12-09,F,24-30,4967,2,15382,289.0,884,82,3,27
2110985,587068735,1,1,2018-12-08,M,31-40,7094,6,36017,339.0,4141,126,9,0
1741125,264705308,1,1,2018-12-19,F,31-40,3901,2,28089,1126.0,1676,212,1,0
2788449,70535671,1,1,2018-12-14,F,18-23,378,3,15,0.0,0,0,0,0
149560,500218628,1,1,2018-12-19,F,31-40,789,1,228,0.0,7,2,0,0
3445607,434063921,1,1,2018-12-11,F,18-23,1415,1,2460,3.0,34,28,0,0
739402,638362300,1,1,2018-12-09,F,18-23,6175,2,25270,1156.0,2820,260,0,11
2234318,66687975,1,1,2018-12-12,M,18-23,2662,3,5866,32.0,96,59,0,0
2569178,274710282,1,1,2018-12-12,M,18-23,83,1,0,0.0,0,0,0,0
2013572,241627600,1,1,2018-12-12,F,24-30,1454,2,1207,3.0,10,5,2,0
867149,106884629,1,1,2018-12-12,M,24-30,893,5,60,0.0,1,0,0,0
956110,424656278,1,1,2018-12-19,F,31-40,373,1,177,0.0,27,3,0,0
3054012,34966255,1,1,2018-12-09,F,41-49,5724,13,34461,0.0,356,112,1,0
1057045,767709079,1,1,2018-12-15,F,24-30,15667,27,9428,1171.0,514,105,5,10
3581544,1008503501,1,1,2018-12-15,M,41-49,12,1,0,0.0,0,0,0,0
1936358,1096870096,1,1,2018-12-08,M,18-23,52,1,4,0.0,0,0,0,0
1932157,1051944735,1,1,2018-12-06,F,50+,803,3,495,0.0,57,0,0,0
3558218,827493451,1,1,2018-12-18,M,24-30,2040,2,1441,0.0,12,35,0,0
409467,450903181,1,1,2018-12-07,M,18-23,23982,8,55713,67.0,2392,669,3,15
1893672,782893108,1,1,2018-12-12,F,24-30,430,3,142,0.0,0,7,0,0
1918859,906441754,1,1,2018-12-18,M,24-30,1326,2,1079,0.0,6,3,1,9
2317719,377725299,1,1,2018-12-08,F,24-30,448,1,612,0.0,7,11,0,0
1039994,716620080,1,1,2018-12-09,M,24-30,7576,7,28317,2.0,2498,167,3,0
1245236,457150546,1,1,2018-12-19,M,31-40,6646,3,17309,82.0,3141,165,1,0
824062,1053171916,1,1,2018-12-13,F,31-40,241,2,6,0.0,0,0,0,0
7204,21030178,1,1,2018-12-02,F,18-23,5778,3,1252181,3474.0,49475,1450,32,0
460540,636824007,1,1,2018-12-18,F,24-30,6576,2,28062,35.0,511,90,5,0
2055986,407271429,1,1,2018-12-04,F,18-23,45,1,0,0.0,0,0,0,0
47829,151329685,1,1,2018-12-11,M,24-30,6818,5,3854,12.0,88,86,1,0
3559967,836684425,1,1,2018-12-17,M,24-30,11,1,0,0.0,0,0,0,0
1299319,658035594,1,1,2018-12-03,M,24-30,279,1,213,0.0,3,6,0,0
607191,163630315,1,1,2018-12-02,M,31-40,766,5,246,0.0,2,0,0,0
696214,471674584,1,1,2018-12-15,M,41-49,387,1,69,0.0,3,0,1,0
2563131,246075091,1,1,2018-12-05,M,18-23,349,3,43,0.0,0,0,0,0
696750,473472666,1,1,2018-12-09,F,31-40,25843,9,607704,2614.0,9483,1156,36,0
1444611,195118803,1,1,2018-12-20,M,31-40,2619,2,73752,35.0,2222,119,3,0
926883,335766490,1,1,2018-12-19,M,50+,10275,4,77917,79.0,1558,596,7,0
2582855,338960416,1,1,2018-12-18,M,18-23,2728,11,2989,1.0,1080,53,2,0
92265,334225138,1,1,2018-12-13,F,41-49,11967,1,1047752,265.0,2684,570,22,0
1009077,602941905,1,1,2018-12-15,F,24-30,25631,5,91602,328.0,529,459,8,71
812330,927146237,1,1,2018-12-02,M,50+,2915,1,141706,650.0,7848,339,14,0
1706476,138567764,1,1,2018-12-18,M,31-40,2108,1,20534,7.0,212,35,2,0
703049,494305530,1,1,2018-12-12,M,31-40,1131,3,1162,1.0,9,10,0,0
1431610,146834177,1,1,2018-12-16,M,24-30,12653,1,1075297,4783.0,17178,1862,20,0
3507259,655898885,1,1,2018-12-19,M,24-30,4833,1,25451,20.0,93,229,5,55
766263,729396997,1,1,2018-12-15,M,31-40,2292,1,1422,0.0,7,1,0,4
3523015,712077670,1,1,2018-12-19,M,18-23,2197,3,1601,61.0,13,4,1,1
633543,266576340,1,1,2018-12-02,F,24-30,3970,1,30140,348.0,477,178,2,0
1529573,477051844,1,1,2018-12-15,M,31-40,374,1,5,0.0,0,0,0,0
2709186,762456645,1,1,2018-12-12,M,41-49,5566,2,62332,175.0,305,135,2,0
652236,350055242,1,1,2018-12-04,M,18-23,10902,4,12465,104.0,4049,103,3,0
3208655,566037263,1,1,2018-12-06,M,31-40,47,1,64,0.0,0,0,0,0
1303959,674189550,1,1,2018-12-03,M,24-30,97,2,0,0.0,0,0,0,0
169300,578463795,1,1,2018-12-06,F,31-40,6455,2,20704,348.0,8968,68,4,0
1619145,796554885,1,1,2018-12-16,M,41-49,422,3,96,0.0,0,3,0,0
1872987,722290020,1,1,2018-12-15,F,24-30,1843,2,4173,29.0,168,40,1,1
1758913,345486840,1,1,2018-12-14,M,31-40,5734,4,5178,3.0,49,164,1,0
1816430,503634427,1,1,2018-12-16,M,31-40,4260,6,1494,0.0,53,37,0,2
536490,945378591,1,1,2018-12-03,M,24-30,285,2,163,0.0,3,2,0,0
2428955,753374287,1,1,2018-12-13,F,50+,1254,4,3785,4.0,97,2,1,15
2772115,18061691,1,1,2018-12-02,F,41-49,14377,2,467298,556.0,10037,530,26,445
2203437,1037863937,1,1,2018-12-10,F,18-23,29,1,0,0.0,0,0,0,0
3209643,570890761,1,1,2018-12-20,M,18-23,32,1,0,0.0,0,0,0,0
281761,17153709,1,1,2018-12-05,F,18-23,90,2,7,0.0,0,0,0,0
46375,147878770,1,1,2018-12-07,F,24-30,14888,3,80624,1721.0,8900,428,2,0
1554867,571477071,1,1,2018-12-16,M,41-49,6206,2,37901,3.0,1249,124,3,0
1524716,465065948,1,1,2018-12-03,M,31-40,2753,1,3746,0.0,50,7,0,0
2035077,343150021,1,1,2018-12-16,F,18-23,450,1,392,0.0,16,13,0,0
2512458,77519002,1,1,2018-12-03,M,18-23,7451,7,85890,957.0,2108,152,2,0
629293,246482383,1,1,2018-12-16,F,18-23,10570,7,13272,113.0,1096,104,0,9
1210000,357940630,1,1,2018-12-07,M,18-23,1017,3,335,0.0,5,5,0,0
843040,27146087,1,1,2018-12-04,M,31-40,47,2,1,0.0,0,0,0,0
2000435,196578284,1,1,2018-12-06,M,31-40,6629,3,3269,0.0,897,35,1,0
587508,105137296,1,1,2018-12-07,M,18-23,312,1,9,0.0,0,0,0,0
1717729,173183930,1,1,2018-12-13,M,31-40,15734,2,492470,316.0,7096,738,23,43
1758389,343511529,1,1,2018-12-11,M,24-30,167,2,0,0.0,0,0,0,0
3493125,600435347,1,1,2018-12-17,F,50+,6707,2,58170,1481.0,1216,413,7,1
2220206,21050162,1,1,2018-12-12,F,18-23,2649,1,24740,505.0,147,119,4,61
1864855,694193406,1,1,2018-12-09,M,31-40,2545,1,284,0.0,162,1,0,0
909380,251957869,1,1,2018-12-01,M,24-30,8406,3,528730,3396.0,5203,695,28,0
2468822,934909108,1,1,2018-12-18,F,31-40,1193,1,2386,0.0,2,0,0,0
17295,52980109,1,1,2018-12-17,M,31-40,6106,1,120625,360.0,13675,246,13,0
2593457,374528247,1,1,2018-12-10,M,18-23,1687,1,16,0.0,0,0,0,0
322704,145556256,1,1,2018-12-05,M,31-40,183,1,0,0.0,0,0,0,0
2187700,883429150,1,1,2018-12-15,M,24-30,413,1,2,0.0,0,0,0,0
3228153,648362142,1,1,2018-12-17,M,24-30,451,2,116,0.0,2,0,0,1
2135002,682733083,1,1,2018-12-07,M,41-49,4718,5,3928,49.0,390,26,1,1
1689847,86100817,1,1,2018-12-17,M,18-23,47,1,2,0.0,0,0,0,0
622201,225468780,1,1,2018-12-14,M,31-40,3301,3,2563,0.0,39,13,1,30
2968147,701782586,1,1,2018-12-12,M,31-40,512,1,343,0.0,8,8,0,0
2366170,515929352,1,1,2018-12-03,F,41-49,492,1,1572,0.0,10,1,1,0
104110,374102027,1,1,2018-12-17,M,18-23,3806,2,7252,5.0,1060,88,2,0
1224974,402486378,0,1,2018-12-16,M,18-23,828,1,973,1.0,194,29,1,0
1472469,306354200,1,1,2018-12-04,M,50+,908,1,826,30.0,13,9,0,1
1318666,722103156,1,1,2018-12-15,F,24-30,2384,1,6397,118.0,777,26,3,16
2018837,265429248,1,1,2018-12-01,M,24-30,435,1,54,0.0,0,0,0,0
784591,783123124,1,1,2018-12-18,M,24-30,531,1,310,0.0,0,0,0,0
2473925,993969486,1,1,2018-12-06,F,24-30,227,1,28,0.0,0,0,0,0
3168436,434493981,1,1,2018-12-15,M,24-30,1450,1,1690,1.0,28,20,0,0
2551074,207301642,1,1,2018-12-07,M,24-30,7609,1,353,0.0,0,9,0,0
2897052,444237428,1,1,2018-12-13,F,24-30,58,1,49,0.0,0,0,0,0
3295301,902200792,1,1,2018-12-09,F,31-40,3294,5,2069,4.0,115,10,0,0
1634124,866882480,1,1,2018-12-17,F,50+,2121,5,75,0.0,2,0,0,0
1658288,1101428298,1,1,2018-12-17,M,24-30,2246,3,3636,86.0,233,19,0,0
3537204,758205609,1,1,2018-12-03,M,31-40,1036,1,946,0.0,14,4,0,0
43014,139398129,1,1,2018-12-01,M,50+,1541,3,2684,40.0,76,49,1,0
2771458,16746468,1,1,2018-12-19,F,31-40,160,1,16,0.0,0,0,0,0
1794188,441708498,0,1,2018-12-12,F,12-17,581,1,1042,0.0,175,28,0,0
1662906,2265234,1,1,2018-12-01,F,24-30,9660,2,87053,3139.0,919,415,6,0
3485594,567023943,1,1,2018-12-02,M,24-30,823,1,425,0.0,14,2,0,0
2256178,139327646,1,1,2018-12-11,F,24-30,861,2,1475,17.0,47,20,0,0
489285,735326060,1,1,2018-12-18,M,24-30,433,1,38,0.0,0,0,0,0
3131327,324672425,1,1,2018-12-09,M,24-30,969,2,226,0.0,22,0,0,0
2174624,813801787,1,1,2018-12-18,M,41-49,77,1,7,0.0,0,0,0,0
2961793,683827246,1,1,2018-12-14,F,41-49,3611,2,3120,13.0,26,34,1,1
2050922,393964005,1,1,2018-12-10,F,18-23,8126,5,20384,234.0,536,99,1,89
1373096,996273208,1,1,2018-12-03,M,24-30,2579,7,1653,0.0,7,1,0,0
600071,145229049,1,1,2018-12-19,M,31-40,4289,4,13169,128.0,188,92,1,5
1882363,749506287,1,1,2018-12-13,M,18-23,7919,4,17737,885.0,860,98,0,11
191860,664718236,1,1,2018-12-14,M,24-30,640,2,298,0.0,1,3,0,0
736697,628189371,1,1,2018-12-17,M,24-30,2447,3,1608,1.0,77,11,0,6
3581054,1003977434,1,1,2018-12-11,M,18-23,357,1,8,0.0,0,0,0,0
1831949,565926852,1,1,2018-12-15,M,24-30,8352,1,16859,547.0,3276,155,4,0
265206,1024803806,1,1,2018-12-14,F,18-23,1837,4,395,0.0,22,2,0,0
1432189,148165455,1,1,2018-12-11,F,18-23,21112,12,64096,191.0,423,440,3,0
1368439,945207167,1,1,2018-12-10,M,18-23,915,1,1020,0.0,73,13,0,0
648950,337990579,1,1,2018-12-17,M,24-30,3810,12,1297,0.0,18,29,0,4
812545,928408316,1,1,2018-12-19,M,31-40,1547,2,557,0.0,7,7,0,0
2922100,519371903,1,1,2018-12-17,M,41-49,2726,1,4086,48.0,1457,18,0,0
2081141,472126362,1,1,2018-12-19,F,12-17,1127,1,306,0.0,143,1,0,0
1714157,159850987,1,1,2018-12-02,M,18-23,527,1,1643,0.0,8,0,0,0
2165299,780318948,1,1,2018-12-11,M,18-23,52,1,82,0.0,0,0,0,1
2459978,873872418,1,1,2018-12-16,M,31-40,1328,1,4500,256.0,645,14,3,0
1442276,182559737,1,1,2018-12-06,M,18-23,127,1,13,0.0,0,0,0,0
1672825,28831670,1,1,2018-12-19,M,18-23,1943,2,444,0.0,11,0,1,10
2696116,722751772,1,1,2018-12-04,F,24-30,1092,2,988,0.0,92,12,0,0
3361241,138573310,1,1,2018-12-05,M,18-23,310,1,435,0.0,6,10,0,0
3188384,488360222,1,1,2018-12-14,M,18-23,18,1,0,0.0,0,0,0,0
3058789,52889979,1,1,2018-12-10,M,24-30,832,2,0,0.0,0,0,0,0
124718,428755873,1,1,2018-12-20,F,24-30,1042,2,2538,5.0,24,40,0,0
3046848,17065333,1,1,2018-12-20,F,18-23,778,1,763,0.0,19,17,0,0
3480372,544834932,1,1,2018-12-14,M,31-40,3112,2,6144,80.0,887,91,1,10
1542041,518931045,1,1,2018-12-05,M,24-30,9308,5,454269,93.0,2484,782,21,0
1281366,589609574,1,1,2018-12-10,M,31-40,2300,5,783,0.0,4,0,0,0
1499367,400457859,1,1,2018-12-05,F,18-23,41,1,7,0.0,0,0,0,0
3559656,834925057,1,1,2018-12-03,M,24-30,2479,2,786,0.0,3,3,0,0
1965645,77104072,1,1,2018-12-05,M,18-23,125,1,6,0.0,0,0,0,0
227729,780187200,1,1,2018-12-09,M,24-30,21648,3,48121,208.0,1697,366,4,9
1259124,497417604,1,1,2018-12-12,M,31-40,514,1,296,0.0,0,5,0,0
2957299,666933772,1,1,2018-12-06,M,41-49,13,1,0,0.0,0,0,0,0
2261506,154351785,1,1,2018-12-13,M,24-30,373,2,24,0.0,0,0,0,0
1762821,357366318,1,1,2018-12-05,M,24-30,5071,2,12400,31.0,2882,70,1,0
2522402,110575012,1,1,2018-12-20,M,18-23,5408,1,49258,93.0,9531,178,18,0
2359416,493141665,1,1,2018-12-08,F,24-30,3434,2,4246,0.0,114,40,2,0
1621043,802692614,1,1,2018-12-17,M,24-30,3226,1,60,0.0,0,0,0,0
1031009,685207127,1,1,2018-12-17,M,31-40,1537,3,4006,21.0,542,7,5,1
2215861,10657039,1,1,2018-12-09,F,18-23,10894,1,28744,2360.0,669,259,2,0
2591586,368937324,1,1,2018-12-10,F,31-40,447,2,354,0.0,10,2,0,0
3364287,146967540,1,1,2018-12-04,M,18-23,1019,1,0,0.0,0,0,0,0
1259775,499757812,1,1,2018-12-16,M,31-40,543,4,229,0.0,57,0,0,0
1937277,1105538067,1,1,2018-12-04,F,31-40,1257,1,1311,0.0,12,1,0,13
2405272,676711337,1,1,2018-12-06,F,18-23,30,1,0,0.0,0,0,0,0
771796,746273519,1,1,2018-12-09,F,31-40,1208,5,601,0.0,5,3,0,0
2810741,144044964,1,1,2018-12-04,M,24-30,281,2,54,0.0,0,0,0,0
1342569,797500387,1,1,2018-12-18,F,24-30,5529,2,7445,6.0,654,85,0,0
2469444,941921321,1,1,2018-12-08,F,50+,8943,2,21636,83.0,135,248,3,0
2727070,820598729,1,1,2018-12-08,M,24-30,22726,9,36286,3.0,1429,231,3,206
1436103,159770308,1,1,2018-12-09,M,24-30,19329,7,158005,8420.0,6870,406,11,68
3337273,57191217,1,1,2018-12-10,F,24-30,11403,1,47247,140.0,518,192,3,243
2574825,302522222,1,1,2018-12-10,F,24-30,12180,3,50240,1125.0,490,360,18,27
2273537,202456504,1,1,2018-12-18,M,24-30,149,1,0,0.0,0,0,0,0
3525437,720436813,1,1,2018-12-04,F,24-30,8616,1,114784,643.0,2015,324,4,0
3231077,657838687,1,1,2018-12-14,M,24-30,111,2,15,0.0,0,0,0,0
558547,15362884,1,1,2018-12-03,M,31-40,7633,3,83170,2766.0,1537,160,3,0
1618121,793269941,1,1,2018-12-12,F,50+,4055,11,7167,41.0,154,66,0,1
504990,783106208,1,1,2018-12-19,M,31-40,3728,8,1639,0.0,76,30,0,0
2944147,618543365,1,1,2018-12-07,M,24-30,897,2,190,0.0,2,2,0,0
283659,21154303,1,1,2018-12-03,M,18-23,4196,3,16978,3.0,227,60,0,0
1126596,51514029,1,1,2018-12-08,M,41-49,153,1,541,0.0,3,2,0,2
625872,235098777,1,1,2018-12-02,F,18-23,81,1,6,0.0,0,0,0,0
852316,56680579,1,1,2018-12-11,M,18-23,387,2,659,0.0,21,8,0,0
3536658,756328149,1,1,2018-12-04,F,31-40,9333,6,79755,3444.0,588,437,5,0
3010983,859330106,1,1,2018-12-14,M,24-30,588,1,220,0.0,1,3,0,0
2767255,5930351,1,1,2018-12-07,F,18-23,23069,9,138232,15471.0,7741,1648,5,0
2726527,818618153,1,1,2018-12-08,M,31-40,2104,6,77920,5.0,203,51,3,0
2850277,294274979,1,1,2018-12-05,M,18-23,656,2,24,0.0,0,0,0,0
1322398,734545755,1,1,2018-12-17,F,18-23,331,1,0,0.0,0,0,0,0
2999942,805514253,1,1,2018-12-20,M,18-23,6636,4,31700,184.0,1395,86,2,0
543939,1034753383,1,1,2018-12-14,M,41-49,2188,1,822,0.0,7,36,0,0
256362,926093974,1,1,2018-12-02,M,50+,6713,2,52626,1450.0,2115,373,3,0
176648,610394473,1,1,2018-12-03,F,18-23,430,3,96,0.0,6,0,0,0
1439732,172484451,1,1,2018-12-16,M,41-49,1437,1,8653,187.0,693,46,0,0
3020968,916434140,1,1,2018-12-12,M,31-40,2551,2,3719,0.0,532,47,1,22
864444,98756171,1,1,2018-12-02,F,24-30,5131,4,36241,626.0,806,205,3,0
3408669,323133686,1,1,2018-12-06,F,50+,24846,14,53916,829.0,834,235,4,206
2149256,730256494,1,1,2018-12-05,M,31-40,5944,3,730,2.0,38,14,0,0
1430214,142974087,1,1,2018-12-13,F,31-40,16179,3,408898,18322.0,6390,670,8,0
1256451,487463894,1,1,2018-12-20,M,41-49,22,1,0,0.0,0,0,0,0
3275473,800191274,1,1,2018-12-13,F,31-40,1591,2,3986,2.0,71,20,0,4
2326086,402378265,1,1,2018-12-18,F,24-30,13738,2,2235843,18414.0,21763,702,49,0
2847196,278742475,1,1,2018-12-15,F,41-49,3266,1,21341,0.0,139,72,0,0
2756231,1040356709,1,1,2018-12-09,M,24-30,300,3,19,0.0,0,0,0,0
3441918,425132570,1,1,2018-12-03,M,24-30,7550,3,762,0.0,18,0,0,0
3423821,374752994,1,1,2018-12-10,F,18-23,4097,2,12474,72.0,38,160,1,25
264539,1016212366,1,1,2018-12-20,F,18-23,270,2,48,0.0,0,0,0,0
3104475,211452669,1,1,2018-12-09,F,31-40,495,1,89,0.0,0,0,0,0
1623426,810911539,1,1,2018-12-02,M,41-49,2351,2,3345,0.0,146,8,5,0
3244323,701393523,1,1,2018-12-18,F,31-40,15233,2,135809,14799.0,8062,281,4,0
2656313,572007633,1,1,2018-12-03,M,31-40,2254,10,3441,0.0,16,26,0,0
2798519,103742065,1,1,2018-12-01,M,24-30,24412,1,3683,0.0,17,0,0,0
821594,1024396741,1,1,2018-12-12,M,31-40,759,1,81,0.0,1,0,0,0
1207083,349259022,1,1,2018-12-05,M,41-49,3153,3,105722,234.0,5007,341,4,0
460639,637168676,1,1,2018-12-12,M,18-23,481,1,348,0.0,22,0,0,0
440029,548901263,1,1,2018-12-19,M,31-40,7126,2,22819,21.0,289,35,1,8
2015046,247965724,1,1,2018-12-07,M,24-30,1937,8,189,2.0,4,1,1,0
2654869,564948204,1,1,2018-12-01,M,12-17,681,2,1201,3.0,108,19,0,0
1098927,1026506059,1,1,2018-12-03,F,24-30,7352,8,5160,5.0,95,60,3,0
1071134,815968394,1,1,2018-12-06,M,31-40,5129,3,104317,104.0,5478,52,12,17
2509668,68855048,1,1,2018-12-07,M,18-23,1046,3,13019,266.0,315,68,2,0
1364016,907662725,1,1,2018-12-06,F,18-23,248,1,10,0.0,0,0,0,0
2117592,615267750,1,1,2018-12-10,M,24-30,1277,4,2552,0.0,16,6,0,3
1373852,1007502309,1,1,2018-12-19,F,31-40,9027,11,16811,7.0,817,100,1,51
400578,428187670,1,1,2018-12-04,F,31-40,183,1,8,0.0,0,0,0,0
3097613,183086903,1,1,2018-12-20,M,31-40,1107,4,1432,0.0,98,7,0,9
1989984,154090371,1,1,2018-12-10,M,18-23,2885,2,12920,3.0,36,51,0,0
2600250,394731339,1,1,2018-12-14,F,24-30,2308,3,6419,0.0,485,61,1,0
3289882,868015849,1,1,2018-12-06,F,24-30,2098,1,2480,3.0,9,11,0,0
2221230,23278336,1,1,2018-12-15,M,18-23,183,1,35,0.0,0,0,0,0
2524499,116381631,1,1,2018-12-03,M,18-23,372,1,4,0.0,0,0,0,0
3378443,197420709,1,1,2018-12-18,M,24-30,1138,1,545,0.0,6,14,0,0
1763767,359503453,1,1,2018-12-14,M,24-30,558,1,733,0.0,111,23,0,0
2543253,175554368,1,1,2018-12-08,F,31-40,5970,2,163521,1219.0,6505,232,18,0
1959136,55234159,1,1,2018-12-08,M,18-23,124,1,103,0.0,0,1,0,0
843987,30158850,1,1,2018-12-16,M,18-23,3851,5,11912,61.0,1122,135,2,0
3545805,784650729,1,1,2018-12-10,M,31-40,289,1,74,0.0,1,0,0,0
462044,642268277,1,1,2018-12-06,M,24-30,3176,4,4583,0.0,18,33,0,3
3129761,319065382,1,1,2018-12-01,M,18-23,2427,2,2406,16.0,147,83,0,0
7193,21030178,1,1,2018-12-08,F,18-23,2887,2,191295,3557.0,9216,386,10,0
131041,444898272,1,1,2018-12-10,F,31-40,2990,1,12650,54.0,879,56,1,0
2851530,301195425,1,1,2018-12-13,M,41-49,462,2,23,0.0,0,0,0,0
3055557,44965582,1,1,2018-12-14,M,18-23,2027,2,1523,1.0,1,6,0,0
1118293,23679625,1,1,2018-12-20,M,18-23,1852,3,1042,1.0,9,31,0,0
2961935,684131147,1,1,2018-12-01,F,41-49,4287,2,1700,0.0,89,21,0,0
3195249,511978596,1,1,2018-12-17,F,24-30,204,1,252,0.0,0,0,0,3
1362497,896636697,1,1,2018-12-10,F,31-40,154,1,0,0.0,0,0,0,0
2677628,659527793,1,1,2018-12-15,M,24-30,1718,6,732,0.0,12,13,0,0
694580,468051523,1,1,2018-12-06,F,18-23,1253,2,364,0.0,0,3,0,0
3275614,800778484,1,1,2018-12-14,M,18-23,2782,2,937,0.0,236,19,0,0
2306107,341251979,1,1,2018-12-08,M,31-40,3239,1,5407,0.0,609,94,0,0
2306744,343807974,1,1,2018-12-07,F,18-23,4065,1,10015,151.0,320,24,3,0
371460,341517060,1,1,2018-12-09,F,31-40,355,2,21,0.0,0,0,0,0
2157521,755782956,1,1,2018-12-06,M,41-49,239,2,216,0.0,26,0,0,0
3560685,840094533,1,1,2018-12-12,F,41-49,9815,6,54368,156.0,628,167,2,93
2462365,886931763,1,1,2018-12-08,F,41-49,1569,1,1174,0.0,2,2,2,0
1570061,635777892,1,1,2018-12-01,M,31-40,5401,7,5478,0.0,218,67,1,0
1673132,29820151,1,1,2018-12-18,M,24-30,1584,3,3195,293.0,2,1,1,0
2662112,597434671,1,1,2018-12-09,F,24-30,4109,5,2368,0.0,15,25,1,0
1195994,303435049,1,1,2018-12-14,F,18-23,1153,4,3442,54.0,320,40,0,0
2074009,453809219,1,1,2018-12-18,F,31-40,1680,2,2379,0.0,8,45,0,0
1018601,643073867,1,1,2018-12-16,M,31-40,3476,2,6874,129.0,261,35,0,0
413731,462810505,1,1,2018-12-02,F,31-40,2962,2,12,0.0,0,0,0,0
2215575,9889064,1,1,2018-12-06,F,18-23,10343,8,91779,17251.0,2295,201,3,21
1955823,46957670,1,1,2018-12-14,M,24-30,75,2,3,0.0,0,0,0,0
697968,476853771,1,1,2018-12-06,M,50+,7625,1,204232,10536.0,5256,228,17,0
263619,1004940261,1,1,2018-12-19,M,31-40,3492,1,109,0.0,13,0,0,0
311211,112162090,1,1,2018-12-10,F,18-23,165,1,2,0.0,0,0,0,0
324752,151182266,1,1,2018-12-12,M,18-23,283,1,28,0.0,0,0,0,0
1084992,889528413,1,1,2018-12-18,F,24-30,688,2,1297,6.0,4,11,0,0
1380922,1088964300,1,1,2018-12-05,F,31-40,3808,5,4970,0.0,18,51,0,0
1023565,658619267,1,1,2018-12-10,F,31-40,3304,8,3966,16.0,67,45,1,0
2555290,223036374,1,1,2018-12-19,M,18-23,65,2,93,0.0,0,0,0,0
4709,16211845,1,1,2018-12-09,M,18-23,2479,2,1977,21.0,15,41,0,0
3218975,610631579,1,1,2018-12-15,F,18-23,1975,4,895,0.0,220,9,0,0
